price,city,locality_tier,area_sqft,bhk,bathrooms,floor,total_floors,parking,lift,east_facing,furnishing,property_age
7124115,Ahmedabad,Budget,1807,4,4,1,3,0,0,0,Fully Furnished,8
12764354,Delhi,Mid,1057,2,2,3,14,1,1,0,Unfurnished,6
14094088,Chennai,Premium,1317,3,3,0,15,1,1,1,Unfurnished,12
16976759,Delhi,Budget,1888,4,3,6,8,1,0,1,Semi-Furnished,11
12884640,Hyderabad,Premium,1146,2,2,1,4,0,1,0,Unfurnished,7
8380662,Hyderabad,Budget,1641,3,3,21,23,1,0,0,Unfurnished,8
29552584,Delhi,Premium,1544,3,2,6,9,1,1,1,Semi-Furnished,6
16246032,Noida,Premium,1533,3,3,13,14,1,1,0,Fully Furnished,7
15558753,Pune,Premium,1436,3,3,1,2,0,1,0,Unfurnished,11
6542836,Noida,Budget,1407,3,2,6,6,1,1,0,Semi-Furnished,9
8332084,Ahmedabad,Mid,1456,3,3,16,18,1,1,1,Semi-Furnished,7
11228701,Hyderabad,Budget,1818,4,3,5,5,1,1,1,Fully Furnished,8
10470902,Noida,Mid,1530,3,3,7,12,1,1,0,Semi-Furnished,6
19274680,Mumbai,Mid,1005,2,2,7,10,1,1,0,Unfurnished,8
31242087,Delhi,Mid,2387,5,5,2,3,1,0,0,Semi-Furnished,13
22574708,Mumbai,Mid,1188,2,1,3,13,1,1,0,Unfurnished,7
7381946,Delhi,Mid,572,1,1,0,2,1,1,1,Unfurnished,8
11402247,Bangalore,Mid,1083,2,1,7,12,0,1,0,Semi-Furnished,12
13037662,Delhi,Mid,941,2,1,13,24,1,1,0,Semi-Furnished,4
4600983,Kolkata,Budget,999,2,1,19,24,1,0,0,Fully Furnished,7
15336815,Bangalore,Premium,1075,2,1,8,14,1,1,0,Unfurnished,10
4626911,Delhi,Budget,518,1,1,2,7,1,1,0,Semi-Furnished,6
19184960,Hyderabad,Premium,1692,3,2,8,10,1,1,1,Unfurnished,6
8649386,Mumbai,Mid,475,1,1,1,12,0,1,1,Semi-Furnished,4
5479480,Kolkata,Mid,939,2,2,1,2,1,1,0,Unfurnished,5
11073658,Mumbai,Mid,576,1,1,2,2,0,0,0,Unfurnished,13
2020865,Jaipur,Mid,348,1,1,4,9,0,1,0,Semi-Furnished,10
8619907,Pune,Mid,1110,2,1,0,2,1,0,0,Semi-Furnished,13
17005508,Delhi,Mid,1343,3,3,14,20,1,1,1,Unfurnished,10
33556022,Mumbai,Budget,2576,5,5,2,7,1,1,0,Semi-Furnished,5
11579274,Kolkata,Mid,1922,4,3,1,4,0,1,0,Semi-Furnished,3
11402146,Pune,Budget,2057,4,4,3,5,0,1,0,Fully Furnished,5
9723087,Pune,Mid,1108,2,1,14,16,0,1,0,Fully Furnished,6
8205528,Pune,Mid,1018,2,2,19,22,1,1,0,Semi-Furnished,10
8569451,Mumbai,Mid,356,1,1,0,2,1,1,0,Semi-Furnished,8
14712858,Bangalore,Mid,1392,3,2,3,13,1,1,0,Semi-Furnished,10
9742142,Mumbai,Mid,412,1,1,7,8,1,1,0,Fully Furnished,10
6866447,Ahmedabad,Mid,1272,3,3,0,8,0,1,1,Semi-Furnished,12
11590242,Chennai,Premium,1135,2,2,3,13,0,0,0,Unfurnished,14
13839045,Delhi,Mid,1013,2,2,1,3,1,0,1,Semi-Furnished,8
67762725,Mumbai,Premium,2363,5,4,2,7,1,1,1,Semi-Furnished,10
20888652,Delhi,Mid,1674,3,3,1,5,0,1,0,Unfurnished,14
27703574,Delhi,Mid,1915,4,3,0,2,1,0,0,Fully Furnished,8
7701540,Pune,Budget,1530,3,2,1,2,1,0,1,Unfurnished,11
9808114,Chennai,Budget,1900,4,4,3,3,1,1,0,Semi-Furnished,12
10986912,Ahmedabad,Premium,1257,3,2,6,9,1,1,1,Fully Furnished,7
12614311,Bangalore,Budget,1836,4,4,1,2,0,0,1,Semi-Furnished,5
14361652,Mumbai,Budget,946,2,1,6,8,1,1,0,Fully Furnished,9
12416858,Pune,Mid,1607,3,2,8,8,1,1,0,Unfurnished,6
12638084,Pune,Mid,1541,3,2,3,20,1,0,1,Semi-Furnished,10
5954198,Hyderabad,Budget,1016,2,1,4,9,1,1,1,Semi-Furnished,6
15286755,Pune,Mid,1758,4,4,2,24,1,1,0,Fully Furnished,7
15676719,Hyderabad,Budget,2652,5,5,1,2,1,0,1,Fully Furnished,6
16626465,Hyderabad,Premium,1526,3,3,6,11,1,1,1,Unfurnished,10
14752730,Bangalore,Premium,985,2,2,2,2,0,1,0,Semi-Furnished,5
30703254,Mumbai,Mid,1635,3,2,4,12,1,1,0,Unfurnished,10
43464613,Mumbai,Mid,2149,4,4,0,5,1,1,0,Semi-Furnished,4
21807310,Mumbai,Budget,1638,3,3,6,9,1,1,0,Semi-Furnished,13
2657278,Chennai,Budget,470,1,1,3,4,1,1,0,Unfurnished,4
20250437,Delhi,Mid,1379,3,2,2,3,1,0,1,Fully Furnished,6
7494215,Hyderabad,Premium,618,1,1,0,12,1,1,0,Semi-Furnished,8
4509536,Ahmedabad,Budget,1336,3,2,14,20,1,1,0,Unfurnished,9
16613786,Delhi,Mid,1233,2,1,2,3,1,0,0,Semi-Furnished,6
21858550,Bangalore,Premium,1503,3,2,17,21,1,1,0,Unfurnished,6
10807565,Pune,Mid,1372,3,3,2,3,0,0,0,Semi-Furnished,6
3223818,Delhi,Budget,352,1,1,2,12,1,1,0,Semi-Furnished,16
10716340,Mumbai,Budget,846,2,2,4,24,1,0,0,Unfurnished,9
15650511,Delhi,Mid,1016,2,1,3,3,1,1,1,Fully Furnished,6
22330960,Mumbai,Mid,999,2,1,4,6,1,1,1,Fully Furnished,9
3830751,Noida,Budget,851,2,1,0,5,1,1,1,Semi-Furnished,4
16232416,Kolkata,Mid,2457,5,4,1,5,1,1,0,Fully Furnished,4
14429264,Chennai,Mid,1835,4,3,8,12,1,1,0,Semi-Furnished,6
11559426,Ahmedabad,Mid,2070,4,3,5,10,1,1,0,Semi-Furnished,8
7437317,Kolkata,Budget,1993,4,4,22,24,1,1,0,Unfurnished,8
12144083,Delhi,Mid,954,2,1,3,3,0,0,0,Unfurnished,9
6232854,Ahmedabad,Premium,845,2,1,7,8,1,1,1,Unfurnished,8
8534049,Hyderabad,Mid,963,2,2,3,6,0,1,0,Fully Furnished,7
12899757,Kolkata,Mid,1950,4,3,6,21,0,0,1,Fully Furnished,11
8015932,Ahmedabad,Mid,1538,3,2,1,2,1,0,0,Unfurnished,7
18251365,Delhi,Premium,1020,2,2,5,24,1,0,1,Unfurnished,9
23277248,Mumbai,Mid,1095,2,2,7,7,0,1,0,Fully Furnished,6
19145554,Delhi,Mid,1441,3,2,0,9,1,1,0,Semi-Furnished,12
21868495,Bangalore,Premium,1276,3,2,4,5,1,1,1,Fully Furnished,3
20301830,Kolkata,Premium,2118,4,3,11,16,1,0,0,Fully Furnished,13
3217978,Ahmedabad,Budget,887,2,1,2,8,1,1,0,Unfurnished,6
24321375,Mumbai,Budget,1867,4,3,8,10,0,0,1,Semi-Furnished,8
8681056,Hyderabad,Mid,994,2,1,8,10,1,1,0,Semi-Furnished,9
10244160,Bangalore,Budget,1536,3,3,2,5,0,1,0,Semi-Furnished,10
28141385,Delhi,Mid,1936,4,4,1,2,1,0,0,Fully Furnished,7
25723934,Mumbai,Budget,1935,4,4,13,14,0,1,0,Semi-Furnished,12
6053452,Delhi,Mid,453,1,1,3,4,1,1,0,Semi-Furnished,10
8035302,Noida,Mid,1169,2,1,14,16,1,1,0,Semi-Furnished,15
27819569,Delhi,Premium,1499,3,3,1,9,1,1,0,Semi-Furnished,7
7320766,Hyderabad,Mid,883,2,1,4,5,1,1,1,Unfurnished,11
7952525,Pune,Budget,1385,3,2,3,9,1,1,0,Fully Furnished,11
20435307,Bangalore,Mid,1969,4,4,6,10,1,1,0,Semi-Furnished,9
5045379,Jaipur,Mid,1028,2,1,11,11,1,1,0,Unfurnished,8
14031981,Noida,Premium,1558,3,3,13,15,0,0,1,Unfurnished,4
8511067,Delhi,Budget,1014,2,2,3,3,1,0,0,Unfurnished,4
16196333,Hyderabad,Mid,1898,4,4,19,24,1,1,1,Semi-Furnished,7
31837109,Delhi,Mid,2449,5,5,2,6,1,1,0,Semi-Furnished,9
13152151,Delhi,Budget,1588,3,3,10,17,1,1,0,Unfurnished,8
24180897,Mumbai,Premium,862,2,1,2,3,1,1,0,Unfurnished,11
13066588,Hyderabad,Mid,1444,3,3,2,2,0,0,1,Fully Furnished,8
8617064,Hyderabad,Budget,1571,3,2,7,8,0,1,0,Semi-Furnished,7
23314687,Mumbai,Mid,1105,2,1,1,5,0,1,0,Fully Furnished,12
27146672,Delhi,Mid,1976,4,3,23,24,1,1,1,Semi-Furnished,10
13300462,Ahmedabad,Mid,2450,5,4,2,2,0,1,0,Semi-Furnished,8
12633311,Delhi,Budget,1341,3,3,0,2,1,0,0,Fully Furnished,8
48643108,Mumbai,Premium,1563,3,2,1,2,1,1,1,Fully Furnished,8
7819806,Bangalore,Budget,1158,2,2,3,3,1,0,0,Unfurnished,10
6109611,Jaipur,Budget,1807,3,2,6,8,1,1,0,Semi-Furnished,9
20312777,Delhi,Premium,1046,2,2,5,7,1,1,1,Semi-Furnished,6
5303499,Chennai,Budget,993,2,2,2,5,1,1,0,Semi-Furnished,8
3411413,Pune,Mid,389,1,1,2,2,1,0,0,Unfurnished,2
11652205,Delhi,Mid,774,2,2,3,4,0,1,0,Fully Furnished,8
4988133,Pune,Budget,1021,2,2,3,3,1,0,0,Unfurnished,5
11486209,Bangalore,Budget,1782,3,2,9,12,1,0,0,Unfurnished,14
18642302,Chennai,Premium,1652,3,2,5,13,1,1,1,Semi-Furnished,9
14345511,Chennai,Mid,1633,3,2,13,13,1,1,1,Fully Furnished,8
7757536,Hyderabad,Mid,1029,2,1,0,24,0,0,1,Unfurnished,11
20609170,Mumbai,Mid,1043,2,2,3,18,0,1,0,Semi-Furnished,7
9491365,Kolkata,Mid,1709,4,3,0,7,0,1,1,Unfurnished,10
28636848,Delhi,Premium,1591,3,2,6,6,1,1,0,Unfurnished,5
35176818,Delhi,Mid,2430,5,4,10,21,1,1,0,Fully Furnished,12
21130110,Mumbai,Mid,915,2,1,5,9,1,0,1,Fully Furnished,8
16445157,Hyderabad,Premium,1461,3,2,2,4,1,1,1,Unfurnished,6
2404428,Chennai,Budget,457,1,1,4,8,0,1,1,Semi-Furnished,6
19517361,Mumbai,Budget,1413,3,3,11,24,0,1,0,Fully Furnished,9
14720598,Hyderabad,Mid,2001,4,3,1,16,1,1,0,Unfurnished,10
23520286,Delhi,Mid,1933,4,4,1,4,0,1,1,Unfurnished,5
18136033,Chennai,Mid,2512,5,4,21,24,1,1,1,Unfurnished,12
15493010,Mumbai,Mid,821,2,2,8,24,1,1,0,Unfurnished,4
11345654,Pune,Mid,1474,3,3,3,4,1,0,1,Unfurnished,8
8855064,Bangalore,Budget,1368,3,2,8,19,1,1,0,Unfurnished,8
13625024,Noida,Premium,1423,3,3,0,18,1,1,1,Semi-Furnished,5
29821567,Mumbai,Premium,1017,2,1,2,2,0,0,0,Semi-Furnished,8
25753322,Bangalore,Premium,1807,4,3,6,10,1,0,1,Unfurnished,5
49956714,Mumbai,Premium,1901,4,4,1,4,1,0,0,Unfurnished,6
10723680,Noida,Premium,1068,2,2,1,10,1,1,1,Semi-Furnished,8
3288531,Ahmedabad,Budget,830,2,2,3,21,0,1,1,Fully Furnished,9
17996847,Delhi,Mid,1213,2,2,4,7,1,0,1,Fully Furnished,9
20670843,Chennai,Premium,1644,3,2,5,6,1,1,1,Fully Furnished,8
5964943,Kolkata,Mid,940,2,1,13,21,1,1,1,Semi-Furnished,6
11366822,Hyderabad,Budget,1905,4,3,12,24,1,1,0,Fully Furnished,8
14004238,Hyderabad,Mid,1524,3,2,2,2,1,1,0,Fully Furnished,3
19439638,Delhi,Mid,1326,3,2,15,22,0,1,0,Fully Furnished,9
16123041,Mumbai,Budget,1259,3,2,2,2,1,1,0,Unfurnished,3
2506162,Ahmedabad,Mid,444,1,1,1,5,1,0,0,Semi-Furnished,10
10364554,Ahmedabad,Mid,1983,4,3,10,13,1,1,0,Unfurnished,5
10729927,Chennai,Mid,1511,3,2,10,13,0,1,0,Unfurnished,10
30022481,Delhi,Mid,2426,5,5,5,12,1,1,1,Unfurnished,5
18992322,Bangalore,Mid,1652,3,3,0,2,1,0,0,Fully Furnished,10
12004175,Pune,Mid,1320,3,2,2,3,1,0,1,Fully Furnished,5
2101014,Ahmedabad,Mid,363,1,1,11,23,0,1,0,Semi-Furnished,12
8170760,Ahmedabad,Mid,1558,3,3,1,2,1,1,0,Unfurnished,7
15040195,Pune,Premium,1360,3,2,2,2,1,1,0,Unfurnished,9
15524426,Chennai,Premium,1355,3,3,8,16,1,1,0,Semi-Furnished,8
29625721,Mumbai,Mid,1514,3,3,5,10,1,1,0,Semi-Furnished,6
10920985,Mumbai,Budget,873,2,2,5,5,0,1,0,Unfurnished,7
12748997,Ahmedabad,Mid,2484,5,4,0,3,1,1,0,Unfurnished,7
20174182,Hyderabad,Mid,2416,5,4,2,18,1,0,1,Semi-Furnished,14
8138008,Mumbai,Mid,396,1,1,6,24,1,1,1,Unfurnished,10
49473412,Mumbai,Premium,1747,4,4,2,2,1,0,0,Semi-Furnished,5
12879802,Chennai,Premium,1016,2,1,3,8,1,0,0,Fully Furnished,6
28370237,Mumbai,Mid,1350,3,2,0,4,1,0,0,Fully Furnished,7
31003227,Mumbai,Premium,979,2,1,9,15,1,1,1,Fully Furnished,8
26569447,Hyderabad,Premium,2438,5,5,5,5,0,1,0,Unfurnished,12
5686565,Pune,Budget,975,2,2,5,11,1,1,0,Fully Furnished,9
17111644,Chennai,Premium,1482,3,3,7,8,1,1,1,Semi-Furnished,3
13094322,Delhi,Mid,1023,2,1,1,8,0,1,1,Semi-Furnished,10
6996983,Pune,Mid,912,2,2,13,17,0,1,1,Unfurnished,6
24587983,Delhi,Mid,1649,3,3,4,6,1,1,0,Fully Furnished,12
10666934,Delhi,Mid,778,2,2,12,16,1,0,0,Semi-Furnished,5
10812470,Pune,Mid,1472,3,2,3,5,0,1,0,Unfurnished,10
19836532,Chennai,Mid,2600,5,5,0,3,1,1,0,Semi-Furnished,11
7460954,Kolkata,Budget,2057,4,4,2,6,1,0,1,Unfurnished,6
10028459,Chennai,Budget,1883,4,3,7,7,1,1,1,Semi-Furnished,6
9764368,Hyderabad,Premium,903,2,2,2,7,1,1,0,Unfurnished,10
26073014,Mumbai,Premium,879,2,1,13,14,1,1,1,Semi-Furnished,6
9920720,Bangalore,Budget,1571,3,2,3,8,1,1,0,Unfurnished,10
5556278,Delhi,Mid,411,1,1,9,19,1,1,0,Unfurnished,4
25058524,Delhi,Mid,2030,4,3,5,7,0,1,1,Unfurnished,6
5391252,Jaipur,Mid,1031,2,2,1,3,0,0,0,Fully Furnished,12
35022350,Bangalore,Premium,2284,4,3,1,3,1,1,1,Semi-Furnished,9
2656272,Ahmedabad,Mid,537,1,1,1,17,0,1,0,Unfurnished,6
16550285,Chennai,Mid,1902,4,3,2,2,1,0,1,Fully Furnished,7
5232408,Kolkata,Mid,824,2,1,2,2,1,0,0,Semi-Furnished,6
3644687,Hyderabad,Mid,466,1,1,1,2,1,1,0,Unfurnished,5
8261405,Hyderabad,Budget,1485,3,3,1,6,1,1,1,Semi-Furnished,18
5693333,Hyderabad,Mid,734,2,2,2,7,1,0,1,Unfurnished,5
29846200,Delhi,Premium,1414,3,3,2,2,0,1,1,Fully Furnished,13
13223790,Pune,Mid,1535,3,2,7,7,0,0,0,Fully Furnished,9
7095025,Delhi,Budget,936,2,1,0,5,0,1,0,Unfurnished,10
27987332,Mumbai,Budget,2116,4,4,8,13,1,1,0,Semi-Furnished,15
10449461,Chennai,Mid,1312,3,3,13,15,1,1,0,Semi-Furnished,5
49419189,Mumbai,Premium,1581,3,2,1,11,0,1,1,Fully Furnished,8
7107698,Noida,Budget,1609,3,2,5,7,1,1,0,Semi-Furnished,10
10964103,Noida,Mid,1614,3,2,2,3,1,0,1,Semi-Furnished,11
8295151,Noida,Premium,812,2,2,1,16,1,1,1,Semi-Furnished,2
11072829,Bangalore,Mid,1037,2,1,5,5,1,1,0,Semi-Furnished,6
28832891,Mumbai,Mid,1419,3,3,5,5,1,1,0,Semi-Furnished,8
5673529,Noida,Mid,831,2,1,0,21,1,1,0,Semi-Furnished,2
10907148,Bangalore,Mid,950,2,2,3,24,0,1,1,Fully Furnished,6
9723944,Noida,Mid,1391,3,2,9,19,0,1,0,Fully Furnished,8
6663923,Noida,Budget,1610,3,2,14,24,1,1,1,Unfurnished,9
2527676,Kolkata,Budget,561,1,1,11,17,0,1,0,Fully Furnished,5
7172361,Delhi,Budget,861,2,1,5,11,1,1,0,Unfurnished,12
7238508,Bangalore,Budget,913,2,1,4,4,1,1,1,Fully Furnished,6
4594416,Kolkata,Premium,454,1,1,2,24,1,1,0,Fully Furnished,8
14805497,Delhi,Mid,991,2,2,2,18,0,1,1,Fully Furnished,9
12681539,Mumbai,Mid,620,1,1,2,4,1,1,0,Semi-Furnished,4
13888954,Hyderabad,Budget,2582,5,5,5,7,1,1,0,Semi-Furnished,12
9241720,Noida,Mid,1506,3,2,2,2,0,0,0,Unfurnished,10
2886676,Pune,Budget,468,1,1,13,24,1,1,0,Semi-Furnished,7
2805204,Hyderabad,Mid,287,1,1,3,8,1,1,1,Semi-Furnished,7
20809020,Mumbai,Budget,1655,3,3,2,4,1,1,1,Unfurnished,8
10872189,Chennai,Premium,946,2,2,1,4,1,1,1,Semi-Furnished,9
12415317,Jaipur,Premium,1686,3,3,18,24,1,1,0,Semi-Furnished,5
28978203,Mumbai,Budget,2023,4,4,5,9,1,1,1,Fully Furnished,9
20400116,Hyderabad,Premium,1743,3,3,0,6,1,1,1,Semi-Furnished,7
3678870,Ahmedabad,Budget,1072,2,1,1,7,1,1,1,Unfurnished,7
13576077,Pune,Premium,1328,3,2,1,2,1,0,0,Unfurnished,10
19158128,Pune,Mid,2426,5,4,2,2,0,1,0,Semi-Furnished,11
10913483,Pune,Mid,1479,3,2,8,9,0,1,1,Unfurnished,6
14692648,Bangalore,Mid,1395,3,3,2,7,1,1,0,Semi-Furnished,9
11662870,Delhi,Mid,954,2,1,1,5,0,1,1,Unfurnished,15
5392374,Kolkata,Mid,835,2,1,2,8,1,1,1,Semi-Furnished,12
12193960,Kolkata,Premium,1500,3,2,2,2,1,0,0,Unfurnished,7
16106562,Ahmedabad,Premium,2028,4,4,17,24,1,0,1,Semi-Furnished,10
8891241,Noida,Mid,1379,3,3,4,4,1,1,0,Unfurnished,4
14630905,Hyderabad,Mid,1732,3,2,2,2,1,0,0,Semi-Furnished,5
5606121,Hyderabad,Budget,1007,2,2,3,3,1,0,0,Unfurnished,6
6305409,Kolkata,Mid,901,2,1,2,2,1,0,1,Fully Furnished,11
9352308,Chennai,Mid,1304,3,3,1,3,1,0,0,Unfurnished,12
6909097,Pune,Mid,1007,2,1,0,6,0,0,1,Unfurnished,11
11799902,Kolkata,Premium,1468,3,3,7,12,1,1,1,Unfurnished,10
6347636,Ahmedabad,Mid,1093,2,1,4,4,1,1,1,Semi-Furnished,7
13106549,Delhi,Budget,1482,3,2,6,6,0,0,1,Semi-Furnished,8
12269390,Bangalore,Budget,1856,4,4,21,22,1,1,1,Unfurnished,8
33554191,Mumbai,Mid,1700,3,3,2,4,0,1,0,Semi-Furnished,7
8919958,Hyderabad,Mid,1052,2,2,9,14,1,1,1,Semi-Furnished,9
21407350,Mumbai,Budget,1469,3,3,3,3,1,0,0,Fully Furnished,9
28502190,Bangalore,Mid,2519,5,4,3,3,0,0,0,Fully Furnished,8
18605878,Hyderabad,Premium,1556,3,2,3,6,0,0,0,Semi-Furnished,13
6812487,Delhi,Premium,328,1,1,1,4,1,1,1,Semi-Furnished,6
4576609,Hyderabad,Mid,518,1,1,14,20,1,1,0,Semi-Furnished,10
11290320,Mumbai,Budget,945,2,1,1,2,1,1,0,Unfurnished,11
22765901,Mumbai,Mid,1060,2,1,0,9,1,1,1,Fully Furnished,10
17095075,Kolkata,Premium,1911,4,3,6,9,0,1,1,Semi-Furnished,6
29080980,Bangalore,Premium,1927,4,3,0,2,0,0,0,Semi-Furnished,8
16099731,Mumbai,Budget,1199,2,2,4,12,1,1,0,Semi-Furnished,9
7073374,Hyderabad,Budget,1147,2,1,4,6,1,1,0,Fully Furnished,5
5235609,Pune,Mid,604,2,2,12,12,1,1,1,Semi-Furnished,11
27745785,Delhi,Mid,2138,4,4,5,15,0,1,0,Semi-Furnished,6
15511299,Chennai,Premium,1491,3,3,3,5,0,1,0,Unfurnished,12
18827642,Mumbai,Budget,1415,3,3,7,7,0,1,0,Semi-Furnished,9
11833885,Mumbai,Budget,879,2,1,3,4,1,0,1,Unfurnished,8
13114593,Hyderabad,Mid,1386,3,3,3,3,1,0,1,Fully Furnished,10
4785368,Hyderabad,Budget,918,2,1,0,2,0,0,0,Semi-Furnished,9
6775195,Chennai,Mid,864,2,1,22,24,0,1,0,Semi-Furnished,7
15713125,Pune,Premium,1337,3,3,2,6,1,1,1,Semi-Furnished,7
6281096,Jaipur,Mid,1375,3,2,2,2,1,0,0,Unfurnished,9
11619806,Hyderabad,Premium,1038,2,1,1,2,0,0,1,Unfurnished,8
14997912,Delhi,Mid,1006,2,2,4,4,0,1,0,Fully Furnished,6
7467181,Kolkata,Mid,1066,2,2,2,2,1,0,1,Fully Furnished,9
12096061,Delhi,Mid,992,2,1,1,5,1,1,1,Unfurnished,10
14075224,Bangalore,Mid,1343,3,2,0,2,1,0,1,Semi-Furnished,5
40607962,Mumbai,Mid,2059,4,3,1,2,1,1,0,Semi-Furnished,9
11674831,Mumbai,Premium,379,1,1,3,10,1,1,0,Unfurnished,8
6473980,Noida,Mid,1077,2,2,17,20,0,1,0,Unfurnished,6
5831902,Kolkata,Mid,860,2,2,6,6,1,0,1,Fully Furnished,7
10590871,Pune,Mid,1417,3,3,8,16,1,0,0,Unfurnished,7
7932352,Bangalore,Budget,956,2,2,2,2,1,0,1,Fully Furnished,8
21406373,Mumbai,Budget,1580,3,2,8,13,1,1,1,Semi-Furnished,12
12432472,Mumbai,Budget,1021,2,2,0,2,1,0,0,Unfurnished,9
17978457,Delhi,Mid,1502,3,2,11,16,1,1,0,Unfurnished,8
24990237,Hyderabad,Premium,2226,4,3,9,18,1,1,0,Unfurnished,8
13316845,Pune,Mid,1779,4,4,14,14,1,0,1,Unfurnished,9
17289631,Chennai,Mid,2375,5,4,9,15,1,1,1,Unfurnished,6
19816637,Delhi,Mid,1370,3,2,4,8,1,1,0,Fully Furnished,9
15815484,Noida,Premium,1787,4,3,2,4,1,1,0,Unfurnished,13
5431563,Pune,Budget,913,2,2,5,10,1,1,0,Fully Furnished,12
14395041,Hyderabad,Premium,1082,2,1,1,6,1,1,0,Fully Furnished,11
2160900,Chennai,Budget,429,1,1,1,2,0,1,1,Unfurnished,7
10002385,Bangalore,Budget,1460,3,2,2,7,0,1,1,Semi-Furnished,9
23967698,Delhi,Mid,1793,4,3,3,10,1,1,0,Semi-Furnished,7
6578857,Bangalore,Budget,904,2,2,1,2,0,0,0,Fully Furnished,9
10858184,Pune,Mid,1444,3,3,5,9,1,0,0,Unfurnished,6
23469370,Mumbai,Budget,1577,3,2,8,10,1,1,1,Fully Furnished,14
36563413,Mumbai,Mid,1799,4,3,3,3,1,0,0,Semi-Furnished,5
18854251,Mumbai,Budget,1445,3,2,2,6,1,1,0,Semi-Furnished,5
52398267,Mumbai,Mid,2630,5,5,4,24,1,1,0,Semi-Furnished,9
3745204,Kolkata,Budget,946,2,2,6,18,1,1,0,Unfurnished,5
5822901,Pune,Mid,746,2,1,1,6,1,1,0,Semi-Furnished,10
19463660,Bangalore,Mid,1653,3,2,5,5,1,1,0,Fully Furnished,9
14222587,Mumbai,Budget,1088,2,2,1,3,1,0,1,Unfurnished,7
3496741,Hyderabad,Budget,604,1,1,2,2,0,1,0,Semi-Furnished,11
12479403,Bangalore,Mid,1290,3,3,1,4,1,1,0,Unfurnished,8
43690930,Mumbai,Premium,1681,3,2,3,24,1,1,0,Unfurnished,10
